"Reference","Value","Datasheet","Footprint","Qty","Internal Part Number","PValue","Populated"
"C1","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C2","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C3","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C4","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C5","1-0000176","~","capacitors:1-0000176","1","1-0000176","10µF","1"
"C6","1-0000018","~","capacitors_0603:1-0000018","1","1-0000018","1uF","1"
"C7","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C8","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C9","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C10","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C11","1-0000005","~","capacitors_0603:1-0000005","1","1-0000005","10uF","1"
"C12","1-0000018","~","capacitors_0603:1-0000018","1","1-0000018","1uF","1"
"C13","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C14","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C15","1-0000018","~","capacitors_0603:1-0000018","1","1-0000018","1uF","1"
"C16","1-0000005","~","capacitors_0603:1-0000005","1","1-0000005","10uF","1"
"F1","1-0001547","~","fuses:1-0001547","1","1-0001547","5A","1"
"FID1","Fiducial_1mm_2mm","~","mechanical:Fiducial_1mm_Mask2mm","1","0-0000000","Fiducial","0"
"FID2","Fiducial_1mm_2mm","~","mechanical:Fiducial_1mm_Mask2mm","1","0-0000000","Fiducial","0"
"H1","Imperial4","None","mechanical:MountingHole_imperial4","1","0-0000000","#4","0"
"H2","Imperial4","None","mechanical:MountingHole_imperial4","1","0-0000000","#4","0"
"H3","Imperial4","None","mechanical:MountingHole_imperial4","1","0-0000000","#4","0"
"H4","Imperial4","None","mechanical:MountingHole_imperial4","1","0-0000000","#4","0"
"J1","NP_Conn_01x06","~","np_connectors:PinHeader_1x06_P2.54mm_Vertical","1","0-0000000","01x06","0"
"J2","NP_Conn_01x02","~","np_connectors:PinHeader_1x02_P2.54mm_Vertical","1","0-0000000","NP_Conn_01x02","0"
"J3","NP_Conn_01x04","~","np_connectors:PinHeader_1x04_P2.54mm_Vertical","1","0-0000000","NP_Conn_01x04","0"
"J4","NP_Conn_01x04","~","np_connectors:PinHeader_1x04_P2.54mm_Vertical","1","0-0000000","NP_Conn_01x04","0"
"J5","NP_Conn_01x04","~","np_connectors:PinHeader_1x04_P2.54mm_Vertical","1","0-0000000","NP_Conn_01x04","0"
"J6","NP_Conn_01x04","~","np_connectors:PinHeader_1x04_P2.54mm_Vertical","1","0-0000000","NP_Conn_01x04","0"
"J7","NP_Conn_01x02_Relief","~","np_connectors:SolderWire_1x02_Relief","1","0-0000000","NP_Conn_01x02","0"
"J8","NP_Conn_01x02_Relief","~","np_connectors:SolderWire_1x02_Relief","1","0-0000000","NP_Conn_01x02","0"
"PCB1","barepcb","","misc:barepcb","1","3-0000208","Bare PCB","1"
"R1","1-0001546","~","resistors:1-0001546","1","1-0001546","100m","1"
"R2","1-0000010","~","resistors_0603:1-0000010","1","1-0000010","10k","1"
"R3","1-0000009","~","resistors_0603:1-0000009","1","1-0000009","1M","1"
"R4","1-0000010","~","resistors_0603:1-0000010","1","1-0000010","10k","1"
"R5","1-0000174","~","resistors_0603:1-0000174","1","1-0000174","100k","1"
"R6","1-0000174","~","resistors_0603:1-0000174","1","1-0000174","100k","1"
"R7","1-0000006","~","resistors_0603:1-0000006","1","1-0000006","NP","0"
"R8","1-0000006","~","resistors_0603:1-0000006","1","1-0000006","0R0","1"
"R9","1-0000010","~","resistors_0603:1-0000010","1","1-0000010","10k","1"
"R10","1-0000006","~","resistors_0603:1-0000006","1","1-0000006","NP","0"
"R11","1-0000006","~","resistors_0603:1-0000006","1","1-0000006","0R0","1"
"R12","1-0000006","~","resistors_0603:1-0000006","1","1-0000006","NP","0"
"R13","1-0000010","~","resistors_0603:1-0000010","1","1-0000010","10k","1"
"R14","1-0000010","~","resistors_0603:1-0000010","1","1-0000010","10k","1"
"U1","1-0000452","","others:1-0000452","1","1-0000452","INA169","1"
"U2","1-0001532","","motor_drivers:1-0001532","1","1-0001532","TB6612","1"
"U3","1-0000207","","microcontrollers:1-0000207","1","1-0000207","STM32F103","1"
"U4","1-0000196","","regulators:1-0000196","1","1-0000196","LT1521","1"
"Y1","1-0000721","~","crystals_resonators:1-0000721","1","1-0000721","8MHz","1"
