"Reference","Value","Datasheet","Footprint","Qty","Internal Part Number","PValue","Populated"
"BT1","1-0000246","","batteries:1-0000246","1","1-0000246","CR1220","1"
"C1","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C2","1-0000136","~","capacitors_1206:1-0000136","1","1-0000136","4.7uF","1"
"C3","1-0000018","~","capacitors_0603:1-0000018","1","1-0000018","1uF","1"
"C4","1-0000136","~","capacitors_1206:1-0000136","1","1-0000136","4.7uF","1"
"C5","1-0000019","~","capacitors_0603:1-0000019","1","1-0000019","4.7uF","1"
"C6","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C7","1-0000018","~","capacitors_0603:1-0000018","1","1-0000018","1uF","1"
"C8","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C9","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C10","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C11","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C12","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C13","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C14","1-0000075","~","capacitors_0805:1-0000075","1","1-0000075","10uF","1"
"C15","1-0000018","~","capacitors_0603:1-0000018","1","1-0000018","1uF","1"
"C16","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C17","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C18","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"C19","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","0"
"C20","1-0000007","~","capacitors_0603:1-0000007","1","1-0000007","0.1uF","1"
"D1","1-0000399","","leds_other:1-0000399","1","1-0000399","1655","1"
"D2","1-0000599","~","leds_0805:1-0000599","1","1-0000599","Blue","1"
"D3","1-0000601","~","leds_0805:1-0000601","1","1-0000601","Yellow","1"
"F1","1-0001517","~","fuses:1-0001517","1","1-0001517","1A","1"
"FID1","Fiducial_1mm_2mm","~","mechanical:Fiducial_1mm_Mask2mm","1","0-0000000","Fiducial","0"
"FID2","Fiducial_1mm_2mm","~","mechanical:Fiducial_1mm_Mask2mm","1","0-0000000","Fiducial","0"
"H1","Imperial6","None","mechanical:MountingHole_imperial6","1","0-0000000","M3","0"
"H2","Imperial6","None","mechanical:MountingHole_imperial6","1","0-0000000","M3","0"
"H3","Imperial6","None","mechanical:MountingHole_imperial6","1","0-0000000","M3","0"
"H4","Imperial6","None","mechanical:MountingHole_imperial6","1","0-0000000","M3","0"
"J1","NP_Conn_01x04_Relief","~","np_connectors:SolderWire_1x04_Relief","1","0-0000000","Encoder","0"
